TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
EL_PINILLO_1600_1630,54510,EL PINILLO,MÁLAGA,16:00 - 16:30,36,29
EL_PINILLO_1630_1700,54510,EL PINILLO,MÁLAGA,16:30 - 17:00,54,60
EL_PINILLO_1700_1730,54510,EL PINILLO,MÁLAGA,17:00 - 17:30,43,16
EL_PINILLO_1730_1800,54510,EL PINILLO,MÁLAGA,17:30 - 18:00,43,56
EL_PINILLO_1800_1830,54510,EL PINILLO,MÁLAGA,18:00 - 18:30,35,25
EL_PINILLO_1830_1900,54510,EL PINILLO,MÁLAGA,18:30 - 19:00,21,57
EL_PINILLO_1900_1930,54510,EL PINILLO,MÁLAGA,19:00 - 19:30,30,33
EL_PINILLO_1930_2000,54510,EL PINILLO,MÁLAGA,19:30 - 20:00,27,39
EL_PINILLO_2000_2030,54510,EL PINILLO,MÁLAGA,20:00 - 20:30,15,30
EL_PINILLO_2030_2100,54510,EL PINILLO,MÁLAGA,20:30 - 21:00,22,38
EL_PINILLO_2100_2130,54510,EL PINILLO,MÁLAGA,21:00 - 21:30,4,25
EL_PINILLO_2130_2200,54510,EL PINILLO,MÁLAGA,21:30 - 22:00,14,41
EL_PINILLO_2200_2230,54510,EL PINILLO,MÁLAGA,22:00 - 22:30,7,15
EL_PINILLO_2230_2300,54510,EL PINILLO,MÁLAGA,22:30 - 23:00,3,11
EL_PINILLO_2300_2330,54510,EL PINILLO,MÁLAGA,23:00 - 23:30,6,12
EL_PINILLO_2330_0000,54510,EL PINILLO,MÁLAGA,23:30 - 00:00,4,12
BENALMADENA-ARROYO_DE_LA_MIEL_0000_0030,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,00:00 - 00:30,11,25
BENALMADENA-ARROYO_DE_LA_MIEL_0030_0100,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,00:30 - 01:00,4,3
BENALMADENA-ARROYO_DE_LA_MIEL_0530_0600,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,05:30 - 06:00,6,4
BENALMADENA-ARROYO_DE_LA_MIEL_0600_0630,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,06:00 - 06:30,36,13
BENALMADENA-ARROYO_DE_LA_MIEL_0700_0730,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,07:00 - 07:30,64,21
BENALMADENA-ARROYO_DE_LA_MIEL_0730_0800,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,07:30 - 08:00,148,76
BENALMADENA-ARROYO_DE_LA_MIEL_0800_0830,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,08:00 - 08:30,104,94
BENALMADENA-ARROYO_DE_LA_MIEL_0830_0900,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,08:30 - 09:00,149,50
BENALMADENA-ARROYO_DE_LA_MIEL_0900_0930,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,09:00 - 09:30,139,66
BENALMADENA-ARROYO_DE_LA_MIEL_0930_1000,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,09:30 - 10:00,148,88
BENALMADENA-ARROYO_DE_LA_MIEL_1000_1030,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,10:00 - 10:30,138,67
BENALMADENA-ARROYO_DE_LA_MIEL_1030_1100,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,10:30 - 11:00,142,79
BENALMADENA-ARROYO_DE_LA_MIEL_1100_1130,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,11:00 - 11:30,106,94
BENALMADENA-ARROYO_DE_LA_MIEL_1130_1200,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,11:30 - 12:00,107,64
BENALMADENA-ARROYO_DE_LA_MIEL_1200_1230,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,12:00 - 12:30,117,127
BENALMADENA-ARROYO_DE_LA_MIEL_1230_1300,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,12:30 - 13:00,88,89
BENALMADENA-ARROYO_DE_LA_MIEL_1300_1330,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,13:00 - 13:30,84,102
BENALMADENA-ARROYO_DE_LA_MIEL_1330_1400,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,13:30 - 14:00,98,105
BENALMADENA-ARROYO_DE_LA_MIEL_1400_1430,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,14:00 - 14:30,96,141
BENALMADENA-ARROYO_DE_LA_MIEL_1430_1500,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,14:30 - 15:00,141,167
BENALMADENA-ARROYO_DE_LA_MIEL_1500_1530,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,15:00 - 15:30,118,114
BENALMADENA-ARROYO_DE_LA_MIEL_1530_1600,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,15:30 - 16:00,99,147
BENALMADENA-ARROYO_DE_LA_MIEL_1600_1630,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,16:00 - 16:30,76,133
BENALMADENA-ARROYO_DE_LA_MIEL_1630_1700,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,16:30 - 17:00,88,116
BENALMADENA-ARROYO_DE_LA_MIEL_1700_1730,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,17:00 - 17:30,97,136
BENALMADENA-ARROYO_DE_LA_MIEL_1730_1800,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,17:30 - 18:00,83,76
BENALMADENA-ARROYO_DE_LA_MIEL_1800_1830,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,18:00 - 18:30,81,110
BENALMADENA-ARROYO_DE_LA_MIEL_1830_1900,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,18:30 - 19:00,80,97
BENALMADENA-ARROYO_DE_LA_MIEL_1900_1930,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,19:00 - 19:30,98,110
BENALMADENA-ARROYO_DE_LA_MIEL_1930_2000,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,19:30 - 20:00,47,72
BENALMADENA-ARROYO_DE_LA_MIEL_2000_2030,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,20:00 - 20:30,57,100
BENALMADENA-ARROYO_DE_LA_MIEL_2030_2100,54511,BENALMADENA-ARROYO DE LA MIEL,MÁLAGA,20:30 - 21:00,33,87
